Depth,Vp,Vs,Density,Vshale,Peff,Sw,Litho
3277.7156,3089.5012207,1880.7546387,2.2288999557,0.015775878,0.1935393214,0.0,5.0
3277.868,3118.7648926,1835.2081299,2.234400034,0.0319396704,0.1883516461,0.0,5.0
3278.0204,3150.840332,1806.4128418,2.2458999157,0.0523603372,0.180266127,0.0328680053,5.0
3278.1728,3161.7697754,1810.2794189,2.2578999996,0.0177086145,0.1824096441,0.0887969956,5.0
3278.3252,3174.0478516,1894.4030762,2.2704999447,0.0123258457,0.178713128,0.0764820129,5.0
3278.4776,3192.1176758,1931.0009766,2.271600008,0.0188310221,0.177128762,0.0709859878,5.0
3278.63,3193.425293,1934.7835693,2.2713999748,0.0219086278,0.1766470075,0.1239599958,5.0
3278.7824,3188.111084,1929.3726807,2.2725999355,0.0284138061,0.1750321984,0.1835549921,5.0
3278.9348,3177.4821777,1935.465332,2.2764000893,0.0606689788,0.167874366,0.1229669973,5.0
3279.0872,3134.5800781,1938.3037109,2.2753000259,0.0480982699,0.1705161184,0.067193985,5.0
3279.2396,3088.1894531,1920.0822754,2.2702000141,0.043327596,0.1732118577,0.0829890072,5.0
3279.392,3077.7929688,1880.6560059,2.2690999508,0.0034913688,0.1808381379,0.0719009936,5.0
3279.5444,3092.7866211,1846.7008057,2.2725999355,0.0218396671,0.1762165278,0.0,5.0
3279.6968,3121.9816895,1868.9445801,2.2683000565,0.0114913806,0.1796847284,0.0,5.0
3279.8492,3134.3190918,1941.5805664,2.266299963,0.0211810414,0.1786621809,0.0,5.0
3280.0016,3113.7434082,1982.5279541,2.2599999905,0.0206448119,0.1810883135,0.0,5.0
3280.154,3081.7512207,1982.5474854,2.2592000961,0.0034172453,0.1845746189,0.0,5.0
3280.3064,3050.1105957,1957.673584,2.2622001171,-0.011615523,0.1862135679,0.0483539775,5.0
3280.4588,3022.4692383,1919.3942871,2.2708001137,-0.027249994,0.1857577711,0.02379301,5.0
3280.6112,3015.1887207,1878.6727295,2.2692000866,-0.015367245,0.1842220724,0.0605339818,5.0
3280.7636,3050.0344238,1850.3297119,2.2662000656,-0.015408615,0.1853791028,0.1219739914,5.0
3280.916,3140.338623,1872.5993652,2.2939999104,-0.03050518,0.1773246974,0.1654860079,5.0
3281.0684,3264.4528809,1991.0585938,2.3273000717,-0.029427594,0.1642033905,0.1155360043,5.0
3281.2208,3364.0231934,2149.7854004,2.3368999958,-0.030555166,0.1606499404,0.0972569883,5.0
3281.3732,3418.2089844,2124.3615723,2.3197999001,0.0190207046,0.2411527932,0.3331049979,0.0
3281.5256,3413.0534668,1906.7888184,2.3264000416,0.0383620746,0.2327713072,0.3723540008,0.0
3281.678,3324.6257324,1719.1104736,2.3754000664,0.1590000093,0.1800220162,0.3394500017,0.0
3281.8304,3182.2629395,1598.1132813,2.4223999977,0.3678258657,0.1183429956,0.4616970122,0.0
3281.9828,3014.4074707,1536.3701172,2.4505999088,0.6625396609,0.0577346571,1.0,3.0
3282.1352,2903.8000488,1481.1589355,2.4576001167,0.8563414216,0.0240032859,1.0,3.0
3282.2876,2908.8271484,1483.296875,2.4688999653,0.9124482274,0.0140633173,1.0,3.0
3282.44,2996.5522461,1488.0023193,2.4556999207,0.8664465547,0.0224598814,1.0,3.0
3282.5924,3034.2487793,1611.2073975,2.42689991,0.8083051443,0.0353923552,1.0,3.0
3282.7448,2971.3774414,1644.3774414,2.3947000504,0.766782701,0.0473497696,1.0,3.0
3282.8972,2893.0756836,1616.9187012,2.4044001102,0.7237155437,0.0545622185,1.0,3.0
3283.0496,2848.0124512,1582.0303955,2.4291000366,0.7752121091,0.0412196741,1.0,3.0
3283.202,2843.8193359,1562.1925049,2.4433000088,0.8392258883,0.0281768087,1.0,3.0
3283.3544,2860.4086914,1580.9382324,2.4254000187,0.9427137971,0.0106257722,1.0,3.0
3283.5068,2892.6774902,1642.9345703,2.3919000626,0.8707603216,0.0264461264,1.0,3.0
3283.6592,2930.4282227,1727.8813477,2.3624000549,0.7394051552,0.0577180274,1.0,3.0
3283.8116,2988.8391113,1717.09021,2.3478999138,0.5700689554,0.0987858921,0.4459709823,0.0
3283.964,2978.0166016,1601.7059326,2.3454999924,0.5259241462,0.1095792502,0.42988801,0.0
3284.1164,2922.9812012,1487.4423828,2.3554999828,0.5583241582,0.0995663553,0.4270290136,0.0
3284.2688,2933.8835449,1430.7528076,2.3742001057,0.6640104055,0.072151348,1.0,3.0
3284.4212,2932.8984375,1627.3585205,2.3843998909,0.696310401,0.0634451136,1.0,3.0
3284.5736,2882.4875488,1886.5635986,2.3589999676,0.6327689886,0.0820499063,0.3822869956,0.0
3284.726,2843.7133789,1874.9318848,2.3103001118,0.4625586271,0.1350359619,0.3495300114,0.0
3284.8784,2859.0993652,1803.0936279,2.2709999084,0.3086534739,0.1249641702,0.2970150113,5.0
3285.0308,2914.4174805,1745.2486572,2.2546999454,0.2364344746,0.1427147388,0.2892870009,5.0
3285.1832,2963.0895996,1710.90625,2.2488000393,0.1907482743,0.1530554444,0.2942759991,5.0
3285.3356,2968.8996582,1667.1096191,2.2488999367,0.1551586092,0.1597547531,0.2978249788,5.0
3285.488,2978.6188965,1665.4237061,2.2530999184,0.1067085937,0.2536437511,0.3008700013,0.0
3285.6404,3002.3078613,1707.5772705,2.2585999966,0.1051689684,0.1659320742,0.2996730208,5.0
3285.7928,3019.7741699,1725.2016602,2.2600998878,0.1202430725,0.2462817281,0.3064649999,0.0
3285.9452,3042.3564453,1731.0008545,2.261300087,0.1272913814,0.1609406173,0.2995289862,5.0
3286.0976,3045.9682617,1728.1350098,2.2613999844,0.1110896394,0.1638949364,0.2912969887,5.0
3286.25,3037.1938477,1729.8671875,2.2630999088,0.0949396566,0.1662920564,0.2860049903,5.0
3286.4024,3016.2658691,1739.5760498,2.2676999569,0.0918206871,0.165288642,0.2890409827,5.0
3286.5548,3004.9716797,1759.3591309,2.2720999718,0.1090465412,0.1606742144,0.2873550057,5.0
3286.7072,2995.6950684,1769.8376465,2.2697999477,0.086437948,0.1655443609,0.2456819862,5.0
3286.8596,2982.3291016,1773.3911133,2.2648999691,0.0470172279,0.1744498014,0.2350530028,5.0
3287.012,2992.3574219,1772.8216553,2.2590000629,0.0287724193,0.1799519509,0.2115180045,5.0
3287.1644,3013.1083984,1748.3399658,2.255300045,0.0288155321,0.1812999696,0.1936889887,5.0
3287.3168,3058.0639648,1737.2827148,2.2509000301,0.0470775738,0.1794730276,0.2027940005,5.0
3287.4692,3073.3024902,1738.9914551,2.2558000088,0.053479325,0.1765171736,0.2040929943,5.0
3287.6216,3039.4318848,1755.7401123,2.2569999695,0.0760965645,0.1718809158,0.1755899936,5.0
3287.774,3010.3823242,1768.0819092,2.2574000359,0.057793092,0.1751438081,0.1830089986,5.0
3287.9264,3004.7111816,1759.4343262,2.2518999577,0.0275224168,0.1827891022,0.2104890049,5.0
3288.0788,3022.1936035,1760.7362061,2.2555999756,0.0177827701,0.1832483858,0.2235269994,5.0
3288.2312,3043.7143555,1761.1848145,2.2528998852,0.0350103378,0.1810175329,0.2098590136,5.0
3288.3836,3065.2512207,1774.4121094,2.2544000149,0.0502517298,0.1776208282,0.2246310115,5.0
3288.536,3085.5385742,1809.1673584,2.2644000053,0.0150793009,0.1804820746,0.2407169938,5.0
3288.6884,3111.029541,1808.5350342,2.2734999657,0.0118948184,0.1776725054,0.1956000179,5.0
3288.8408,3132.0612793,1802.3057861,2.2792000771,5.163e-06,0.1776594222,0.1997700185,5.0
3288.9932,3133.307373,1801.074585,2.2739999294,0.0374724306,0.1728917658,0.2192940116,5.0
3289.1456,3132.6953125,1805.2445068,2.2783999443,0.0406569131,0.1707268953,0.2110560089,5.0
3289.298,3131.8459473,1814.2015381,2.2762999535,0.0406569131,0.1714871228,0.1973880082,5.0
3289.4504,3116.3413086,1818.0201416,2.274600029,0.0190241262,0.1759833544,0.1907009929,5.0
3289.6028,3093.9104004,1813.7307129,2.2723999023,0.0502482764,0.1711703837,0.2046839893,5.0
3289.7552,3066.1115723,1814.0384521,2.2760999203,0.0645706877,0.1672830284,0.2091539949,5.0
3289.9076,3049.1433105,1813.7362061,2.2790000439,0.0817551762,0.1632050127,0.2020830065,5.0
3290.06,3046.1694336,1806.2351074,2.285599947,0.0602224283,0.1646915972,0.1798649877,5.0
3290.2124,3043.5532227,1798.1420898,2.290899992,0.0581430905,0.1631722599,0.1720979959,5.0
3290.3648,3034.1491699,1789.6020508,2.2969999313,0.0667569041,0.1595317721,0.1666589975,5.0
3290.5172,3030.5319824,1798.3572998,2.2934000492,0.0452224128,0.164509967,0.1438589841,5.0
3290.6696,3054.0959473,1814.6270752,2.2820000648,0.0211758781,0.172864005,0.1083210185,5.0
3290.822,3086.9042969,1805.8786621,2.2630999088,-0.00358792,0.1843951046,0.0658410043,5.0
3290.9744,3089.942627,1788.010498,2.2483999729,-0.017584471,0.1926114708,0.0527490228,5.0
3291.1268,3062.1594238,1765.1473389,2.236700058,0.0033430888,0.1930505484,0.0736109763,5.0
3291.2792,3049.5429688,1750.8095703,2.2258999348,0.0054965513,0.1966865361,0.0888510123,5.0
3291.4316,3059.6418457,1744.729126,2.2184000015,0.0152275804,0.19754906,0.1203329936,5.0
3291.584,3078.0231934,1742.6622314,2.2269999981,0.0351741388,0.1904165745,0.1584960073,5.0
3291.7364,3095.6889648,1754.0264893,2.2597999573,0.0394810326,0.1776778996,0.1335240006,5.0
3291.8888,3106.2512207,1802.7247314,2.314800024,0.0705448315,0.1526410878,0.0963510126,5.0
3292.0412,3144.9492188,1880.1444092,2.3559000492,0.0382448398,0.1430293024,0.1099800095,5.0
3292.1936,3183.0273438,1912.4082031,2.3668000698,0.0490586199,0.1375096887,0.1222649887,5.0
3292.346,3182.4821777,1914.3852539,2.3280000687,0.019906899,0.1560751796,0.1312080026,5.0
3292.4984,3184.2241211,1895.397583,2.2938001156,0.0414862148,0.1650090069,0.1443239897,5.0
3292.6508,3197.425293,1884.2683105,2.2695999146,0.0468241274,0.1727946401,0.1524450034,5.0
3292.8032,3203.8244629,1869.565918,2.2760999203,0.0502534397,0.1698433906,0.1632419825,5.0
3292.9556,3210.3571777,1825.1672363,2.287899971,0.03270863,0.1686737239,0.152316004,5.0
3293.108,3205.5834961,1817.9541016,2.2955999374,0.0402465351,0.16457057,0.1636260003,5.0
3293.2604,3164.8032227,1824.9802246,2.287899971,0.0639810264,0.1632205248,0.2049540132,5.0
3293.4128,3086.1791992,1871.9771729,2.2679998875,0.044191394,0.1738490015,0.2018700093,5.0
3293.5652,3017.3017578,1822.4411621,2.2486999035,0.0162396599,0.1860978007,0.2166929841,5.0
3293.7176,2994.5856934,1788.1489258,2.2507998943,-0.003189646,0.1889782548,0.2237610072,5.0
3293.87,2985.0891113,1777.6409912,2.266299963,0.0480965599,0.1737493277,0.187740013,5.0
3294.0224,2978.0512695,1800.8798828,2.282599926,0.0707120597,0.1639053822,0.1686779857,5.0
3294.1748,2997.2800293,1835.241333,2.2809000015,0.0642517358,0.1656450927,0.1912619919,5.0
3294.3272,3028.0422363,1868.9329834,2.2723999023,0.048308637,0.17151995,0.2109449953,5.0
